image,caption
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water
1057089366_ca83da0877.jpg,The boy is jumping off a high diving board into the pool
1057210460_09c6f4c6c1.jpg,A man puts his shirt on near an elevator
1057251835_6ded4ada9c.jpg,Light brown dog running along the beach
106490881_5a2dd9b7bd.jpg,A boy in his blue swim shorts at the beach
106514190_bae200f463.jpg,A skier is overlooking the beautiful white snow covered landscape
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy
1067675215_7336a694d6.jpg,A man laying down in middle of street during heavy traffic
1067790824_f3cc97239b.jpg,A white and black dog and a brown dog in sandy terrain
1072153132_53d2bb1b60.jpg,A multicolor dog jumping to catch a tennis ball in a grassy field
107318069_e9f2ef32de.jpg,A group of hot air balloons lit up at night
1075716537_62105738b4.jpg,A young boy in a helmet rides a bike on the road
107582366_d86f2d3347.jpg,A group of people sit around a table outside on a porch at night
1075867198_27ca2e7efe.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach
1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face
1077546505_a4f6c4daa9.jpg,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air
1079274291_9aaf896cc1.jpg,two young boys making silly faces
10815824_2997e03d76.jpg,"A man , and girl and two horses are near a contained fire"
1082252566_8c79beef93.jpg,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches
1082379191_ec1e53f996.jpg,A man and woman sitting on a deck next to a lake
1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws
1084104085_3b06223afe.jpg,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness
1087168168_70280d024a.jpg,A teenage boy is jumping on an inflatable slide
1087539207_9f77ab3aaf.jpg,Several children playing on a Polaris vehicle outdoors
1088767354_2acee738cf.jpg,A woman wearing a red costume looks at two other people standing on a street
108898978_7713be88fc.jpg,Two skiers are making their way through woodland
108899015_bf36131a57.jpg,Two people climbing up a snowy mountain
1089181217_ee1167f7af.jpg,A dog is running down a road
1089755335_0bfbfd30e6.jpg,A mother and children is fishing on a boardwalk at night
109202756_b97fcdc62c.jpg,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain
109202801_c6381eef15.jpg,Two golden brown horses pull a sleigh driven by a woman in a blue coat
109260216_85b0be5378.jpg,"A person climbs a tall , flat mountain while holding onto a safety rope"
109260218_fca831f933.jpg,three people sit in a cave
1093716555_801aacef79.jpg,a group of backpackers lay on the dry ground
1093737381_b313cd49ff.jpg,A woman in a blue dress stands with a chalk portrait of two children playing by a stream
1094462889_f9966dafa6.jpg,The brown dog is out in the snow
1095476286_87d4f8664e.jpg,A child plays in a fountain
1095580424_76f0aa8a3e.jpg,The small brown and white dog is running out of a small tunnel
1095590286_c654f7e5a9.jpg,Two dogs are running in a field
1095980313_3c94799968.jpg,Little girl in blue swimsuit standing on a handrail near a beach
1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray
1096165011_cc5eb16aa6.jpg,A smiling boy swims underwater in a pool
1096395242_fc69f0ae5a.jpg,Boy with toy gun pointed at the camera
109671650_f7bbc297fa.jpg,A young child is standing alone on some jagged rocks
109738763_90541ef30d.jpg,The man is up in the air
109738916_236dc456ac.jpg,Two helmeted men sit on yellow snowmobiles while another man stands behind watching
109823394_83fcb735e1.jpg,Three people ride their four wheelers through the field
109823395_6fb423a90f.jpg,A man on a four wheeler is flying through the air
109823397_e35154645f.jpg,A man jumps gin the air while riding an ATV
1100214449_d10861e633.jpg,A little boy is playfully jumping off the side of a fountain
1104133405_c04a00707f.jpg,A boy walks with a soccer ball near a fence
1105959054_9c3a738096.jpg,A child painting a picture
110595925_f3395c8bd6.jpg,A man on a mountain bike is pedaling up a hill
1107246521_d16a476380.jpg,A large black dog is playing in a grassy yard
1107471216_4336c9b328.jpg,A young girl is looking through an old fashioned video camera
1110208841_5bb6806afe.jpg,a brown and white dog catches a Frisbee in it mouth in front of a group of people
1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks
111497985_38e9f88856.jpg,A young man climbs a rocky hill
111537217_082a4ba060.jpg,The young man with the white t-shirt and jeans is rappeling up the rock wall
111537222_07e56d5a30.jpg,Person with blue helmet and purple pants is rock climbing
1115565519_d976d4b1f1.jpg,A child playing with a fountain at the beach
1115679311_245eff2f4b.jpg,An animal is running on the beach
111766423_4522d36e56.jpg,A black and white bird standing on a hand
1117972841_2b9261f95f.jpg,A dog running fast in the sand
1118557877_736f339752.jpg,A small child wades through the water while being guided by another person
1119015538_e8e796281e.jpg,A little tan dog with large ears running through the grass
1119418776_58e4b93eac.jpg,"A brown , black and white dog is running through a large field with its mouth open"
1119463452_69d4eecd08.jpg,A little girl swimming in a pool
1121416483_c7902d0d49.jpg,A little girl standing on her head
112178718_87270d9b4d.jpg,a man holds his snowboard in the sand
112243673_fd68255217.jpg,Three people ride off-road bikes through a field surrounded by trees
1122944218_8eb3607403.jpg,Baby in white outfit holding black and white flag
1124448967_2221af8dc5.jpg,"A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles"
1129704496_4a61441f2c.jpg,Two dogs in the ocean playing with a toy
1130017585_1a219257ac.jpg,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair"
1130369873_d80a1aa59c.jpg,A brown dog splashes in the water while carrying a ball in its mouth
1130401779_8c30182e3e.jpg,Two brown dogs running through water
1131155939_b4b457b05e.jpg,"A dog at the shore of an ocean , with seaweed in foreground"
1131340021_83f46b150a.jpg,A young boy runs while wearing sandals
1131800850_89c7ffd477.jpg,A dog is looking at something near the water
1131804997_177c3c0640.jpg,Two men with backpacks placed in front of them sitting in front of a railing
1131932671_c8d17751b3.jpg,The boy in blue shorts is bouncing on the bed
1132772170_600610c5df.jpg,A child leaping from bed to bed behind the back of a man
113678030_87a6a6e42e.jpg,A snowboarder takes a rest on the mountainside
1138784872_69ade3f2ab.jpg,A small child walks down a sidewalk
114051287_dd85625a04.jpg,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car
1141718391_24164bf1b1.jpg,Woman and man walking across wooden rope bridge with a caution sign beside it
1141739219_2c47195e4c.jpg,A man is helping a girl step down from a colorful truck whilst a woman and three children watch
1142283988_6b227c5231.jpg,A blond woman poses with a person in a pink costume
1142847777_2a0c1c2551.jpg,A bicyclist riding on a city street
1143373711_2e90b7b799.jpg,A bicyclist getting ready to cross a street
1143882946_1898d2eeb9.jpg,A lady wearing a helmet holding a bike
1144288288_e5c9558b6a.jpg,A person in blue shorts and wearing a Walkman jogs
1148238960_f8cacec2fc.jpg,People waiting at a light on bikes
1149179852_acad4d7300.jpg,A shirtless man escorts a horse pulling a carriage along a paved road
114949897_490ca7eaec.jpg,"A child practices hitting a baseball into a net , while two adult men watch"
1151466868_3bc4d9580b.jpg,The little girl splashes through the water
1153704539_542f7aa3a5.jpg,Girl wearing blue shirt and black shorts plays trumped outside
1155138244_859fd6e079.jpg,The waitress offers complimentary tea to the patrons
115684808_cb01227802.jpg,Three men are setting up a sledge on a snowy plain
1159574340_99ba8c3c59.jpg,Little boy in sneakers jumping into water
1160034462_16b38174fe.jpg,A elderly man in a straw hat is sitting on a bench
1160441615_fe6b3c5277.jpg,Three women walking through a tunnel in a park
1163282319_b729b24c46.jpg,A little girl in a red hat and yellow flip flops sits on a rock
116409198_0fe0c94f3b.jpg,A mountaineer sits in the snow in front of a yellow tent under clear blue sky
1164131282_b30926f332.jpg,Two dogs wrestle in a field
1164765687_7aca07bbe7.jpg,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals
1167662968_e466f1e80a.jpg,A guy with a nose piercing
1167669558_87a8a467d6.jpg,"There is a man , wearing a yellow shirt , and grimacing"
1167908324_8caab45e15.jpg,a man standing in a bar with a neon beer sign hanging on the wall
1169307342_e7a4685a5c.jpg,The dark brown dog is playing with the light brown dog
1174525839_7c1e6cfa86.jpg,A girl in blue is jumping on the shore as small waves approach her
1174629344_a2e1a2bdbf.jpg,A crowd of people walk down a busy sidewalk
1176580356_9810d877bf.jpg,The brown and black dog is jumping up to catch a red ball
1177994172_10d143cb8d.jpg,Two boys spraying each other with water
1178705300_c224d9a4f1.jpg,A tan colored dog is jumping into an outdoor pool
118187095_d422383c81.jpg,Two kids being pushed in car shaped strollers in a parade
118309463_a532b75be9.jpg,Children sporting their Florida Dolphin caps
1184967930_9e29ce380d.jpg,A brown dog running through the grass and flowers
1187435567_18173c148b.jpg,"A small , shaggy dog playing with a toy on a blanket"
1187593464_ce862352c6.jpg,A dog runs toward the camera with a stick in its mouth
1189977786_4f5aaed773.jpg,A grey dog runs alongside a pool while a yellow dog jumps into the pool
1191338263_a4fa073154.jpg,An old woman sits in a transit station next to a backlit advertisement
1193116658_c0161c35b5.jpg,There is a girl on a unicycle and a child on a scooter
119534510_d52b3781a3.jpg,A person in a brown jacket is sitting on a pier by the water reading
1197800988_7fb0ca4888.jpg,a person sits at a table behind a tree
1198194316_543cc7b945.jpg,a couple walking along on a sidewalk
1204996216_71d7519d9a.jpg,A little boy lies down on a picnic table bench
1206506157_c7956accd5.jpg,Two dogs are playing rough in a green field of grass
1207159468_425b902bfb.jpg,a young man wearing a blue shirt with a strange white building in the background
1211015912_9f3ee3a995.jpg,a girl in yellow dress is standing with her eyes closed in a busy park
1213336750_2269b51397.jpg,A man in a black jacket is taking a photo of a man in a red jacket
1215334959_b1970965f7.jpg,Family sitting on a bench near the beach
121800200_bef08fae5f.jpg,A group of climbers begin up a sheer rock face
121971540_0a986ee176.jpg,two men cleaning the outside windows of a yacht
1220401002_3f44b1f3f7.jpg,Two young girls playing together
1222322358_225067636e.jpg,A litlle boy playing on a swing
1224851143_33bcdd299c.jpg,A little boy holds a spoon up to his mouth
1225443522_1633e7121f.jpg,A girl walking alone at night on a street
1227655020_b11a1bb112.jpg,Two dogs wrestle together in the long grass
1229756013_94663527d7.jpg,A coppery dog leaps to catch a ball
1231229740_8dcbf80bfb.jpg,A child in gray clothes is sleeping on a red cushion
1232148178_4f45cc3284.jpg,A closeup of a child on a playground with adult supervision
1234293791_6566284bcd.jpg,A young girl wearing a helmet and riding a brown horse
1234817607_924893f6e1.jpg,Vendor selling drinks in a stall
1235580648_7eebaed9bc.jpg,Two people wearing hats sit and look at the camera
1235681222_819231767a.jpg,Three people sit on wood benches set on white and orange tile
1235685934_be89b231fb.jpg,The man is wearing a white shirt and sunglasses
1236951314_0308dc4138.jpg,A swimming person is watching a child jump into a pool with blue water
1236964638_1808784a3c.jpg,A child jumping into a swimming pool from the diving board
1237985362_dbafc59280.jpg,A woman with holding a young girl playing with bubbles at a picnic
123889082_d3751e0350.jpg,Two dogs are playing in a grassy field ; one dog is biting the ear of the other dog
123997871_6a9ca987b1.jpg,These girls are in uniforms and are playing field hockey
1240297429_c36ae0c58f.jpg,A white and tan dog leaps through the air
124195430_d14028660f.jpg,A thin brown horse standing and a small black horse sitting on sand
1244140539_da4804d828.jpg,A small dog is sitting on white carpet
1244306891_8e78ae1620.jpg,A group of young ladies in bikinis
1244485675_822e6efe60.jpg,The young asian boy looks at his reflection in the park
1245022983_fb329886dd.jpg,The little girl in pink has her hands on her hips
1247181182_35cabd76f3.jpg,a man sits on a rock
1248357227_2b4175fc39.jpg,Three children play near a placid lake in a wooded area
1248734482_3038218f3b.jpg,A young girl is laying in the grass posing for the camera
124881487_36e668145d.jpg,A man on bicycle riding down a rocky hill
1248940539_46d33ed487.jpg,"Three little blond girls , two in blue , one in pink , play on a sunny beach"
1248953128_24c9f8d924.jpg,A little girl in a dress playing with a soccer ball
124972799_de706b6d0b.jpg,A cat under the bench hissing with a dog growling and trying to get it
1251558317_4ef844b775.jpg,A woman and a young boy sit on a police motorcycle and smile for the camera
1252396628_eb81d3905b.jpg,A man in red riding gear riding a dirt bike down a path
1252787177_4b08625897.jpg,Three pairs of granny panties hanging on a line
125319704_49ead3463c.jpg,Person standing beside bike in stream
1253264731_e7c689eca5.jpg,Children playing in stopped motion
1253275679_e955fb7304.jpg,a young boy wearing a clever black and white shirt with his head bowed down
1255504166_f2437febcb.jpg,A young boy plays in the water with the mountains in the background
1258913059_07c613f7ff.jpg,A couple of people sit outdoors at a table with an umbrella and talk
1259936608_e3f0064f23.jpg,Two kids playing in a fountain at a water park
1260816604_570fc35836.jpg,The lady in the red car is crossing the bridge
1262077938_8b9516c273.jpg,A woman sits alone on a park bench in the sun
1262454669_f1caafec2d.jpg,A woman sits on a bench at the park with her dog in front of her
1262583859_653f1469a9.jpg,A man in a bright green shirt and sunglasses is riding a bicycle through the streets whilst drinking a latte
1263126002_881ebd7ac9.jpg,Baby with blonde pigtails in yellow room attempting to climb out of green playpen
1263801010_5c74bf1715.jpg,A man in red snow gear looks at an expanse of snow and mountains
1267711451_e2a754b4f8.jpg,a black and white dog walking through the grass with a long stick in his mouth
1269470943_ba7fc49b4d.jpg,A boy laying on the grass face down with a football at his feet
1271210445_7f7ecf3791.jpg,girls seated at table with a candle covered with lit candles
1271960365_e54033f883.jpg,A black dog runs after another black dog who is carrying a ball
1273001772_1585562051.jpg,A group of children standing in a shallow pool of water
127450902_533ceeddfc.jpg,The sun is almost behind the snowy mountains
127488876_f2d2a89588.jpg,"Tree in the foreground , two men playing golf in the background"
127490019_7c5c08cb11.jpg,A girl is getting ready to swing the club
1277185009_06478dd457.jpg,A man standing on a rocky mountain with gray clouds in the background
1277743944_f4e8c78403.jpg,A boy wearing a red sweater runs along a colorful beach
1280147517_98767ca3b3.jpg,A wakeboarder flies sideways in the air
1280320287_b2a4b9b7bd.jpg,A man is pulled behind a boat on a knee board while another doing the same begins to fall
1282392036_5a0328eb86.jpg,Two women crouch near a small child at a medieval fair
12830823_87d2654e31.jpg,Some children watching fish in a pool
1285067106_2adc307240.jpg,Little leaguer getting ready for pitch
1285874746_486731a954.jpg,A woman in a blue dress stands in a crowd
1286408831_05282582ed.jpg,The boy is climbing
1287064529_aa4e4f3c31.jpg,A husky dog wearing the gear to pull a sled
1287073593_f3d2a62455.jpg,"Five sled dogs are pulling a person on a sled , through the snow"
1287475186_2dee85f1a5.jpg,A boy sitting in water
1287920676_d21a0b289b.jpg,A snow dog in a red harness
1287931016_fb015e2e10.jpg,A black and a white dog on the snow
1287982439_6578006e22.jpg,A dog with a collar running through the water
1288909046_d2b2b62607.jpg,A brown dog leaps into a swimming pool
128912885_8350d277a4.jpg,The dog is playing with a red ball
1289142574_2bd6a082dd.jpg,A boy jumps from one table to another at a park
1290894194_8a4ffdc7eb.jpg,A woman showing a small dog to an infant
1294578091_2ad02fea91.jpg,A woman drawing portrait while a man on a cellphone watches
1295669416_21cabf594d.jpg,A woman in semi-formal attire is sitting on a concrete wall
1295671216_cde1b9c9d1.jpg,A person in a crowd views an electronic device
1295698260_e10c53c137.jpg,The woman in glasses is holding a red and white sale bag
129599450_cab4e77343.jpg,A person hikes on a mountain
1296412797_85b6d2f8d6.jpg,A child is being swung by her arms while another child watches
1296770308_3db2022f5a.jpg,Dark nightclub with chairs
1298295313_db1f4c6522.jpg,A boy in a blue life jacket jumps into the water
1298866571_b4c496b71c.jpg,Man in suit is using his cellphone while sitting on a train
1299459550_1fd5594fa2.jpg,"Boy in shorts , face down in shallow , reflective water"
1299459562_ed0e064aee.jpg,Three shirtless boys are playing in the water
1301140633_046e4e8010.jpg,A child with a dirty face looks at the camera and smiles
130211457_be3f6b335d.jpg,Two blonde models pose with a man under an umbrella
1302657647_46b36c0d66.jpg,A man hanging from bars outdoors
1303335399_b3facd47ab.jpg,A small boy in water wings and a bathing suit slides down a water slide
1303548017_47de590273.jpg,A woman wearing a green shirt stands on the railroad tracks
1303550623_cb43ac044a.jpg,A young woman in jeans and a tank top standing on railroad tracks
1303727066_23d0f6ed43.jpg,A man with a peace sign shirt stops to look at something
1303727828_d1052ee341.jpg,A man in a feather hat looking down
1304100320_c8990a1539.jpg,Two dogs are running through a field of pink flowers
1304961697_76b86b0c18.jpg,Two young kids wakeboarding with one hand each in the air
1305564994_00513f9a5b.jpg,The two racers drove the white bike down the road
1306145560_1e37081b91.jpg,A dog swims holding a tennis ball in its mouth
1307635496_94442dc21a.jpg,A smiling boy runs through the grass
1308472581_9961782889.jpg,A laughing girl holding a bucket splashes in the ocean
1308617539_54e1a3dfbe.jpg,A child running through the water
1309330801_aeeb23f1ee.jpg,One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air
1311132744_5ffd03f831.jpg,A black dog with a red collar walks through the grass with his mouth open and tongue hanging out
1311388430_4ab0cd1a1f.jpg,Someone is suspended from electrical wires
1312020846_5abb4a9be2.jpg,Two little puppies chase each other on a stone wall
1312227131_771b5ed201.jpg,Dogs are pulling a sled across the snow
1312954382_cf6d70d63a.jpg,The girl is wearing a green dress and holding a hello kitty balloon
1313693129_71d0b21c63.jpg,"Two people , a boy in yellow and girl in brown , standing at the shore of a lake"
1313961775_824b87d155.jpg,The little girl is wearing a floating device in the water
1316247213_1d2c726dd5.jpg,"The girl in the purple top and shorts , wearing a hat , is laughing"
131632409_4de0d4e710.jpg,A girl in a bikini walks along the beach with huge clouds and a sandy beach behind her
1317292658_ba29330a0b.jpg,A boy wearing black swimming trunks is standing in a fountain
1319634306_816f21677f.jpg,A large tan dog sits on a grassy hill
1321723162_9d4c78b8af.jpg,The two girls hold hands with one another while they skate on the ice
1321949151_77b77b4617.jpg,Two tired children rest on couches at an art museum while the adults around them view the art
1322323208_c7ecb742c6.jpg,A small boy and girls are playing in the sand on the beach
1324816249_86600a6759.jpg,A golden retriever walking through high grass
132489044_3be606baf7.jpg,A man who has fallen asleep on public transportation
1329832826_432538d331.jpg,People stand outside of the Rite Aid pharmacy on Broadway
1330645772_24f831ff8f.jpg,A black dog is running across a low cut field nearby an area of trees
133189853_811de6ab2a.jpg,"A man wearing a tuxedo shirt , vest , and bow-tie is kissing another man wearing the same thing on the cheek"
1332208215_fa824f6659.jpg,Two men and one woman are sitting in a subway train
1332492622_8c66992b62.jpg,People walking in brightly-colored building
1332722096_1e3de8ae70.jpg,Two girls and a woman walking on the sidewalk
1332815795_8eea44375e.jpg,A little girl is swinging in a baby swing on the playground
1332823164_c70a5d930e.jpg,A woman is watching the tide
1333888922_26f15c18c3.jpg,A child swings and the sunshine shines down on her
1334892555_1beff092c3.jpg,Two young girls with sponge bats being to play while an older girl is acting as the referee
1335617803_4fbc03dab0.jpg,The two children make a funny pose in front of some bushes
1337792872_d01a390b33.jpg,A girls walks down the road holding a teddy bear
1338523142_57fce8229b.jpg,Hiker climbing down a snow and rock covered mountain
133905560_9d012b47f3.jpg,Two beige dogs are playing in the snow
1339596997_8ac29c1841.jpg,Three women with head scarves and long skirts
1341787777_4f1ebb1793.jpg,A brown dog slurps water from a sprinkler on the grass
1342766791_1e72f92455.jpg,one small boy climbing a pole with the help of another boy on the ground
1342780478_bacc32344d.jpg,A man stands among cement fixtures in front of a donut shop
1343426964_cde3fb54e8.jpg,A child poses wearing glasses near water outside
1346051107_9cdc14e070.jpg,A man stands by a wall playing a saxophone
1346529555_e916816cfe.jpg,A Yorkie jumped into the air to catch a red ball in its mouth
134724228_30408cd77f.jpg,Two girls are walking down a dirt road in a park
1347519824_e402241e4f.jpg,Three woman with statue of liberty hats and taking a picture
1348113612_5bfc5f429e.jpg,A black and white dog jumping into a pool after tennis balls
1348304997_afe60a61df.jpg,The young child with red hair bounced on the trampoline
1348891916_ebd4413033.jpg,A tan dog on a leash running in shallow ocean water
134894450_dadea45d65.jpg,a shirtless man jumps over a log
1348947380_14f0fc1237.jpg,a man walks his dog near the ocean
1348957576_c4a78eb974.jpg,A man and a woman are sitting on the ground and surrounded by boats
1350811702_2ce7cfd0c5.jpg,"Young boy wearing waders standing on a dock fishing , other people are in the background"
1350948838_fdebe4ff65.jpg,Black and white dog leaps away from camera into pool
1351315701_6580b51c41.jpg,A black and a white dog are running on the grass
1351764581_4d4fb1b40f.jpg,"A fireman sprays inside the open hood of small white car , on a jack"
135235570_5698072cd4.jpg,A man is being thrown a Frisbee in front of a monument and flags
1352398363_9cc8ffcce9.jpg,A young boy covered in ink stands in front of a white door
1352410176_af6b139734.jpg,A blonde girl is stepping on vertical logs in the sand
1354318519_2f9baed754.jpg,A baby laughs at his reflection in a mirror
1355450069_c0675b0706.jpg,A man is climbing up a wall
1355703632_5683a4b6fb.jpg,Young girl playing softball with white house in background
1355833561_9c43073eda.jpg,A man in an orange vest tossing a child into the air on the beach
1355935187_2c99648138.jpg,A white dog is emerging from a blue canvas tunnel on an obstacle course
1355945307_f9e01a9a05.jpg,The red car has the number seven on the side in a white circle
1356543628_c13ebe38fb.jpg,"Little girl in rural area , carrying bags and stuffed animal"
1356796100_b265479721.jpg,a girl peeks through the green leaves
1357689954_72588dfdc4.jpg,A frightened little boy on a climbing wall
1357724865_4faf4e1418.jpg,A man standing in the water at the base of a waterfall
1357753846_6185e26040.jpg,"A big , black dog runs through the water , near the shore"
1358089136_976e3d2e30.jpg,A man is sliding down a huge sand dune on a sunny day
1358892595_7a37c45788.jpg,A dog runs through the forest with something in its mouth
1359101233_16c2c150e3.jpg,The dog in the red vest runs in the field
1361420539_e9599c60ae.jpg,A black poodle is running through the grass
1362128028_8422d53dc4.jpg,kids play in a blue tub full of water outside
1363843090_9425d93064.jpg,A dog is wading in a river with a towel in its mouth
1363924449_487f0733df.jpg,A little boy stands with his hands on top of his head
136552115_6dc3e7231c.jpg,A helmeted man jumping off a rock on a mountain bike
136639119_6040b00946.jpg,Climber on rock formation using ropes
136644343_0e2b423829.jpg,Young boy smiles at the camera from the tire swing
136644885_f7d2bbf546.jpg,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area
1368338041_6b4077ca98.jpg,"Three small dogs , two white and one black and white , on a sidewalk"
1368383637_614646cc4a.jpg,People stand in corridor looking from balcony as another person walks dog
136886677_6026c622eb.jpg,Two men paddling a canoe down a narrow stream
1370615506_2b96105ca3.jpg,"The Wine Shop on Twenty Fourth building lit up in the dark , two people in front"
1370773415_967b1ffde1.jpg,The woman in a red jacket is talking to a man outside of a store
1377668044_36398401dd.jpg,A dog jumping in the air to retrieve a stick from a man
1378557186_4bd1da6834.jpg,A man aiming a rifle with a dog standing beside him
1379026456_153fd8b51b.jpg,Man sitting with headphones at a laptop
1383698008_8ac53ed7ec.jpg,a snowboarder wearing green pants doing a trick on a high bench
1383840121_c092110917.jpg,The brown dog is laying down on a blue sheet
1384292980_4022a7520c.jpg,The girls walk down the street
1386251841_5f384a0fea.jpg,Woman looking at dresses in window of a clothing store
1386964743_9e80d96b05.jpg,a kid standing in the middle of a dirt road
138705546_be7a6845dd.jpg,Two girls on the shore watch people in a boat fish
138718600_f430ebca17.jpg,Two girls are sitting on a path by a river with their bicycles parked beside them
1387443857_602ab6f9bf.jpg,An old man is sitting on a stone bench
1387461595_2fe6925f73.jpg,Three men standing near a large stone sign
1387785218_cee67735f5.jpg,A small child pushes a stroller down the street
1388346434_524d0b6dfa.jpg,A man with grey hair and a plaid shirt looks out over a balcony
1388373425_3c72b56639.jpg,A woman in a black shirt is sitting next to a florescent green bag
1388970365_162edcceb4.jpg,A brown dog and two black dogs in an overgrown grassy field
1389264266_8170bc1c54.jpg,A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her
1389323170_d1c81d6b51.jpg,a lone woman sitting on an usual green bench with a cup in her hand
1389651420_8d95d8f6ed.jpg,A little boy in a red shirt is making a face into the camera while waiting at a go cart track
1390268323_2c8204e91c.jpg,"Two young boys , wearing just underwear , climb around a vehicle"
1392272228_cf104086e6.jpg,A black dog carrying an object out of the water
1394368714_3bc7c19969.jpg,A person holding a small dog on a leash is bending over and looking through items
1394396709_65040d97ab.jpg,A dog retrieving in the water
1394599090_fe0ba238f0.jpg,A man is pulling a little boy out of the water
1394620454_bf708cc501.jpg,A man posing in a rocky area
1394927474_0afdd82fc4.jpg,"A man with a green , star-shaped balloon is standing in front of a large building"
1396064003_3fd949c9dd.jpg,A wakeboarder performs a flip while being towed at high speed
1396703063_e8c3687afe.jpg,"A man in a hat , white shirt and gold chain with a cross"
1397295388_8a5b6b525d.jpg,People wait for their luggage at the airport
1397887419_e798697b93.jpg,One dog chases another on the green grass
1397923690_d3bf1f799e.jpg,A person skis down a snowy hill
1398606571_f543f7698a.jpg,A young girl wearing a bikini in an innertube
1398613231_18de248606.jpg,This man and little girl are relaxing in an innertube on the water
1398873613_7e3174dd6c.jpg,A man wearing a brown shirt is talking to a man in a white shirt
